Alloys,k,vm,tm,vac,delta,delta_chi,delta_s_mix,delta_h_mix,Class
Co1W1,243.5,8.115,2727.65,14.5,0.0,0.08999999999999998,5.762823676963555,-1.5,0
Al1Co1Cr1Cu1Fe1Ni1Si1,143.14285714285714,8.118571428571428,1637.9985714285713,7.2857142857142865,7.530655685082074,0.11584648532979021,16.178290041506536,-28.489795918367346,0
Al1Cr1Cu1Fe1Ni1Ti1,138.83333333333334,8.105,1658.9733333333336,7.0,3.9282970781796585,0.14484666221751727,14.896682280527974,-28.666666666666664,0
Al1Co1Cr1Cu0.5Ni1Ti1,140.54545454545456,8.123636363636363,1678.537272727273,6.818181818181818,3.868392354571061,0.15047033699054962,14.69716293397956,-39.78181818181818,0
Al0.5Co1Cr1Cu1Fe1Ni1Ti2,144.4,8.124,1759.7873333333334,7.133333333333333,2.919708029197084,0.15363159397294118,15.599331643214402,-28.654222222222224,0
Fe1Zn1,119.0,8.149999999999999,1251.915,10.0,1.8181818181818132,0.09000000000000008,5.762823676963555,-4.5,0
Mg1Sn1,51.5,15.15,659.43,8.0,1.6949152542372836,0.32499999999999996,5.762823676963555,-13.4,0
Al2.68Co1Cr1Fe1Ni1,133.33532934131736,8.14820359281437,1495.404131736527,6.1437125748503,4.849551126299416,0.12725290573781425,12.501013995421063,-38.71598121123023,0
Al1Cr1Fe1Mn1Ni1Ti1,135.16666666666666,8.153333333333332,1685.8700000000001,6.333333333333334,4.044664378482193,0.1397219461008979,14.896682280527974,-37.611111111111114,0
Al1Cu1Cr1Fe1Ni1Nb1,149.16666666666669,8.138333333333334,1793.4733333333336,7.166666666666666,4.562996813138953,0.13208793367383037,14.896682280527974,-24.15555555555556,0
Al0.5Cr1Fe1Ni1Ti1V1,148.0,8.16,1874.9972727272727,6.272727272727273,3.221049739147064,0.13282686176602823,14.697162933979559,-33.196694214876025,0
Co1Cr1Cu1Fe1Ni1Ti2.5,146.60000000000002,8.164000000000001,1827.0993333333336,7.199999999999999,1.7749925672341893,0.15855458225972385,14.212550717887341,-23.484444444444446,0
Al2Co1Cr1Cu1Fe1Ni1Ti1,136.0,8.16625,1581.9325,6.75,4.33831583864596,0.1424561335990837,15.84776362499315,-35.73125,0
Al2.757Co1Cr1Fe1Ni1,132.68195944945984,8.169305904987421,1489.0005608998079,6.107888116027823,4.862115533176274,0.12722779274911558,12.44428211305869,-38.86738277806786,0
Al1.5Co1Cr1Fe1Ni1Ti1,140.0,8.189230769230768,1666.3007692307692,6.384615384615385,4.358136336404087,0.14004648425247695,14.784225757784743,-44.87100591715976,0
Cu0.5Ni1Al1Co1Cr1Fe1Si1,143.3846153846154,8.196923076923076,1659.5546153846155,7.0,7.79198255459614,0.11757409850410609,16.0054506424957,-33.88402366863905,0
Al1Cr0.5Cu1Fe1Ni1Ti1,136.9090909090909,8.184545454545455,1611.5936363636363,7.090909090909091,3.998783653628515,0.1490853657506052,14.697162933979559,-31.83471074380165,0
Al0.5Co1Cr1Cu1Fe1Ni1Si1.4,145.44927536231884,8.213043478260868,1691.9007246376812,7.405797101449275,8.46789394342727,0.10335883987089875,15.908663612273713,-29.135055660575507,0
Al2.897Co1Cr1Fe1Ni1,131.53139045962013,8.20646657967232,1477.7240234884732,6.044802087864289,4.882165225265873,0.12714430171718402,12.340487148455312,-39.10078598262143,0
Co1Cr1Fe1Hf1Ni1,158.8,8.246,1998.75,10.2,5.211680303793991,0.22526428922490133,13.380861848448422,-29.088,0
Co1Cr1Fe1Ni1Cu1Al1Ti1Zn1V1Mo1,147.0,8.228,1749.297,7.4,3.681273121289702,0.1812208597264675,19.143682552098067,-22.304,0
